| № | Дата/время | Температура | Осадки (мм) |
| -- | ------------- | ----------- | ------------ |
| 1 | 2026-05-10T00:00 | 6.6 | 0.0 |
| 2 | 2026-05-10T01:00 | 5.7 | 0.0 |
| 3 | 2026-05-10T02:00 | 5.1 | 0.0 |
| 4 | 2026-05-10T03:00 | 4.2 | 0.0 |
| 5 | 2026-05-10T04:00 | 3.6 | 0.0 |
| 6 | 2026-05-10T05:00 | 3.5 | 0.0 |
| 7 | 2026-05-10T06:00 | 4.6 | 0.0 |
| 8 | 2026-05-10T07:00 | 5.9 | 0.0 |
| 9 | 2026-05-10T08:00 | 7.6 | 0.0 |
| 10 | 2026-05-10T09:00 | 8.9 | 0.0 |
| 11 | 2026-05-10T10:00 | 9.8 | 0.0 |
| 12 | 2026-05-10T11:00 | 10.7 | 0.0 |
| 13 | 2026-05-10T12:00 | 11.3 | 0.0 |
| 14 | 2026-05-10T13:00 | 11.8 | 0.0 |
| 15 | 2026-05-10T14:00 | 12.0 | 0.0 |
| 16 | 2026-05-10T15:00 | 12.0 | 0.0 |
| 17 | 2026-05-10T16:00 | 11.7 | 0.0 |
| 18 | 2026-05-10T17:00 | 11.4 | 0.0 |
| 19 | 2026-05-10T18:00 | 10.9 | 0.0 |
| 20 | 2026-05-10T19:00 | 10.1 | 0.0 |
| 21 | 2026-05-10T20:00 | 8.2 | 0.0 |
| 22 | 2026-05-10T21:00 | 7.1 | 0.0 |
| 23 | 2026-05-10T22:00 | 6.3 | 0.0 |
| 24 | 2026-05-10T23:00 | 5.5 | 0.0 |
